ubicageo_f,rnspni1,divter1,divter2,divter3,divter4,divter5
16067,0,NA,NA,NA,NA,NA
16068,0,NA,NA,NA,NA,NA
16069,0,NA,NA,NA,NA,NA
16070,0,NA,NA,NA,NA,NA
16071,0,NA,NA,NA,NA,NA
16072,97,NSS,NSS,NSS,NSS,NSS
16073,97,NSS,NSS,NSS,NSS,NSS
16074,0,NA,NA,NA,NA,NA
16075,0,NA,NA,NA,NA,NA
16076,0,NA,NA,NA,NA,NA
16077,0,NA,NA,NA,NA,NA
16078,1,0,4,0,0,0
16079,0,NA,NA,NA,NA,NA
16080,0,NA,NA,NA,NA,NA
16081,0,NA,NA,NA,NA,NA
16082,3,NA,NA,NA,NA,NA
16083,0,NA,NA,NA,NA,NA
16084,0,NA,NA,NA,NA,NA
16085,3,NA,NA,NA,NA,NA
16086,0,NA,NA,NA,NA,NA
16087,0,NA,NA,NA,NA,NA
16088,1,1,4,NA,NA,NA
16089,0,NA,NA,NA,NA,NA
16090,0,NA,NA,NA,NA,NA
16091,0,NA,NA,NA,NA,NA
16092,0,NA,NA,NA,NA,NA
16093,0,NA,NA,NA,NA,NA
16094,0,NA,NA,NA,NA,NA
16095,0,NA,NA,NA,NA,NA
16096,0,NA,NA,NA,NA,NA
16097,0,NA,NA,NA,NA,NA
16098,0,NA,NA,NA,NA,NA
16099,0,NA,NA,NA,NA,NA
16100,0,NA,NA,NA,NA,NA
16101,0,NA,NA,NA,NA,NA
16102,1,0,5,0,0,0
16103,0,NA,NA,NA,NA,NA
16104,2,NA,NA,NA,NA,NA
16105,0,NA,NA,NA,NA,NA
16106,0,NA,NA,NA,NA,NA
16107,0,NA,NA,NA,NA,NA
16108,3,NA,NA,NA,NA,NA
16109,0,NA,NA,NA,NA,NA
16110,0,NA,NA,NA,NA,NA
16111,0,NA,NA,NA,NA,NA
16112,2,NA,NA,NA,NA,NA
16113,2,NA,NA,NA,NA,NA
17001,1,0,7,15,0,0
17002,0,NA,NA,NA,NA,NA
17003,0,NA,NA,NA,NA,NA
17004,0,NA,NA,NA,NA,NA
17005,0,NA,NA,NA,NA,NA
17006,0,NA,NA,NA,NA,NA
17007,0,NA,NA,NA,NA,NA
17008,0,NA,NA,NA,NA,NA
17009,0,NA,NA,NA,NA,NA
17010,0,NA,NA,NA,NA,NA
17011,0,NA,NA,NA,NA,NA
17012,0,NA,NA,NA,NA,NA
17013,0,NA,NA,NA,NA,NA
17014,0,NA,NA,NA,NA,NA
17015,0,NA,NA,NA,NA,NA
17016,0,NA,NA,NA,NA,NA
17017,0,NA,NA,NA,NA,NA
17018,0,NA,NA,NA,NA,NA
17019,0,NA,NA,NA,NA,NA
17020,0,NA,NA,NA,NA,NA
17021,0,NA,NA,NA,NA,NA
17022,1,0,3,0,0,0
17023,0,NA,NA,NA,NA,NA
17024,0,NA,NA,NA,NA,NA
17025,0,NA,NA,NA,NA,NA
17026,0,NA,NA,NA,NA,NA
17027,0,NA,NA,NA,NA,NA
17028,1,0,8,23,0,0
17029,0,NA,NA,NA,NA,NA
17030,2,NA,NA,NA,NA,NA
17031,0,NA,NA,NA,NA,NA
17032,0,NA,NA,NA,NA,NA
17033,0,NA,NA,NA,NA,NA
17034,0,NA,NA,NA,NA,NA
17035,0,NA,NA,NA,NA,NA
17036,0,NA,NA,NA,NA,NA
18001,0,NA,NA,NA,NA,NA
18002,0,NA,NA,NA,NA,NA
18003,0,NA,NA,NA,NA,NA
18004,0,NA,NA,NA,NA,NA
18005,0,NA,NA,NA,NA,NA
18006,0,NA,NA,NA,NA,NA
18007,0,NA,NA,NA,NA,NA
18008,0,NA,NA,NA,NA,NA
18009,0,NA,NA,NA,NA,NA
18010,0,NA,NA,NA,NA,NA
18011,0,NA,NA,NA,NA,NA
18012,0,NA,NA,NA,NA,NA
18013,0,NA,NA,NA,NA,NA
18014,0,NA,NA,NA,NA,NA
18015,3,NA,NA,NA,NA,NA
18016,0,NA,NA,NA,NA,NA
18017,1,0,13,0,0,0
18018,0,NA,NA,NA,NA,NA
18019,0,NA,NA,NA,NA,NA
18020,1,0,0,36,0,0
