ubicageo_f,rnspni1,anios_a,nombre1
20134,3,NA,NO APLICA
20135,3,NA,NO APLICA
20136,3,NA,NO APLICA
20137,3,NA,NO APLICA
20138,3,NA,NO APLICA
20139,3,NA,NO APLICA
20140,3,NA,NO APLICA
20141,3,NA,NO APLICA
20142,3,NA,NO APLICA
20143,2,NA,NO APLICA
20144,3,NA,NO APLICA
20145,3,NA,NO APLICA
20146,3,NA,NO APLICA
20147,3,NA,NO APLICA
20148,3,NA,NO APLICA
20149,3,NA,NO APLICA
20150,3,NA,NO APLICA
20151,3,NA,NO APLICA
20152,3,NA,NO APLICA
20153,2,NA,NO APLICA
20154,3,NA,NO APLICA
20155,3,NA,NO APLICA
20156,3,NA,NO APLICA
20157,3,NA,NO APLICA
20158,3,NA,NO APLICA
20159,3,NA,NO APLICA
20160,3,NA,NO APLICA
20161,3,NA,NO APLICA
20162,3,NA,NO APLICA
20163,3,NA,NO APLICA
20164,3,NA,NO APLICA
20165,3,NA,NO APLICA
20166,3,NA,NO APLICA
20167,3,NA,NO APLICA
20168,3,NA,NO APLICA
20169,3,NA,NO APLICA
20170,3,NA,NO APLICA
20171,3,NA,NO APLICA
20172,3,NA,NO APLICA
20173,3,NA,NO APLICA
20174,3,NA,NO APLICA
20175,3,NA,NO APLICA
20176,3,NA,NO APLICA
20177,3,NA,NO APLICA
20178,3,NA,NO APLICA
20179,3,NA,NO APLICA
20180,3,NA,NO APLICA
20181,3,NA,NO APLICA
20182,3,NA,NO APLICA
20183,3,NA,NO APLICA
20184,3,NA,NO APLICA
20185,3,NA,NO APLICA
20186,3,NA,NO APLICA
20187,3,NA,NO APLICA
20188,3,NA,NO APLICA
20189,3,NA,NO APLICA
20190,3,NA,NO APLICA
20191,3,NA,NO APLICA
20192,3,NA,NO APLICA
20193,3,NA,NO APLICA
20194,3,NA,NO APLICA
20195,3,NA,NO APLICA
20196,3,NA,NO APLICA
20197,3,NA,NO APLICA
20198,3,NA,NO APLICA
20199,3,NA,NO APLICA
20200,3,NA,NO APLICA
20201,3,NA,NO APLICA
20202,2,NA,NO APLICA
20203,3,NA,NO APLICA
20204,3,NA,NO APLICA
20205,0,NA,NO APLICA
20206,3,NA,NO APLICA
20207,0,NA,NO APLICA
20208,3,NA,NO APLICA
