ubicageo_f,rnsnni1,acfoic1,acfoic2,acfoic3,acfoic4,acfoic6,acfoic7,acfoic8,acfoic9,sexostt,sexos1,sexos2
30016,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30019,1,5,4,1,0,5,4,1,0,13,10,3
30020,1,7,7,0,0,7,7,0,0,23,22,1
30021,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30022,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30023,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30024,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30025,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30026,1,9,9,0,0,9,9,0,0,42,37,5
30027,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30028,1,2,1,1,0,2,1,1,0,110,91,19
30029,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30030,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30031,1,4,3,1,0,4,3,1,0,18,16,2
30032,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30033,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30034,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30035,1,1,1,0,0,1,1,0,0,18,14,4
30036,1,4,4,0,0,4,4,0,0,17,15,2
30037,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30038,1,71,0,71,0,71,0,71,0,71,52,19
30039,1,25,25,0,0,25,25,0,0,356,235,121
30040,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30041,1,1,0,1,0,1,0,1,0,3,3,0
30042,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30043,1,8,8,0,0,8,8,0,0,8,7,1
30044,1,9,5,4,0,9,5,4,0,138,101,37
30045,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30046,1,3,0,3,0,3,0,3,0,6,5,1
30047,1,2,2,0,0,2,2,0,0,7,7,0
30048,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30049,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30050,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30051,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30052,1,1,1,0,0,1,1,0,0,1,1,0
30053,1,4,0,4,0,4,0,4,0,20,16,4
30054,1,1,0,1,0,1,0,1,0,1,1,0
30055,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30056,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30057,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30058,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30059,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30060,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30061,1,48,24,24,0,48,24,24,0,81,68,13
30062,1,1,0,1,0,1,0,1,0,17,15,2
30063,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30064,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30065,1,1,0,1,0,1,0,1,0,8,5,3
30066,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30067,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30068,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30069,1,2,2,0,0,2,2,0,0,11,10,1
30070,1,2,1,1,0,2,1,1,0,7,7,0
30071,1,10,3,7,0,10,3,7,0,25,21,4
30072,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30073,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30074,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30075,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30076,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30077,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30078,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30079,1,8,6,2,0,8,6,2,0,8,6,2
30080,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30081,1,3,1,2,0,3,1,2,0,12,9,3
30082,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30083,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30084,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30085,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30086,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30087,1,18,18,0,0,18,18,0,0,18,6,12
30088,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30089,1,4,4,0,0,4,4,0,0,49,45,4
30090,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30091,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30092,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30093,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30094,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30095,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30096,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30097,1,24,24,0,0,24,24,0,0,24,20,4
30098,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30099,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30100,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30101,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30102,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30103,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30104,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30105,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30106,1,4,4,0,0,4,4,0,0,11,7,4
30107,1,1,0,1,0,1,0,1,0,8,8,0
30108,1,2,0,2,0,2,0,2,0,2,1,1
30109,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30110,1,3,3,0,0,3,3,0,0,11,9,2
30111,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30112,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30113,1,2,2,0,0,2,2,0,0,9,8,1
30114,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30115,1,1,1,0,0,1,1,0,0,4,2,2
30116,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30117,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
