ubicageo_f,aniorefe_b,rnsnni1,totalca1,pudisptt,pudisp1,pudisp2,pudispne
10025,2,2,NA,NA,NA,NA,
10026,1,2,NA,NA,NA,NA,
10026,2,2,NA,NA,NA,NA,
10027,1,2,NA,NA,NA,NA,
10027,2,2,NA,NA,NA,NA,
10028,1,2,NA,NA,NA,NA,
10028,2,2,NA,NA,NA,NA,
10029,1,2,NA,NA,NA,NA,
10029,2,1,2,2,0,2,
10030,1,2,NA,NA,NA,NA,
10030,2,2,NA,NA,NA,NA,
10031,1,9,NSS,NSS,NSS,NSS,
10031,2,2,NA,NA,NA,NA,
10032,1,1,0,166,164,2,
10032,2,1,0,236,231,5,
10033,1,2,NA,NA,NA,NA,
10033,2,1,0,58,58,0,
10034,1,1,3,37,36,1,
10034,2,1,4,47,45,2,
10035,1,2,NA,NA,NA,NA,
10035,2,2,NA,NA,NA,NA,
10036,1,1,0,45,45,0,
10036,2,1,0,40,40,0,
10037,1,2,NA,NA,NA,NA,
10037,2,2,NA,NA,NA,NA,
10038,1,9,NSS,NSS,NSS,NSS,
10038,2,1,0,18,17,1,
10039,1,1,0,382,382,0,
10039,2,1,0,431,431,0,
11001,1,1,9,12,0,12,
11001,2,1,8,14,0,14,
11002,1,9,NSS,NSS,NSS,NSS,
11002,2,1,116,116,0,116,
11003,1,1,277,4487,4108,379,
11003,2,1,179,5135,4885,250,
11004,1,1,13,102,0,102,
11004,2,1,27,134,0,134,
11005,1,1,1650,2000,1800,200,
11005,2,1,1606,1975,1728,247,
11006,1,2,NA,NA,NA,NA,
11006,2,2,NA,NA,NA,NA,
11007,1,1,651,4635,4139,496,
11007,2,1,582,3325,2783,542,
11008,1,9,NSS,NSS,NSS,NSS,
11008,2,9,NSS,NSS,NSS,NSS,
11009,1,1,17,2088,2068,20,
11009,2,1,14,2173,2148,25,
11010,1,1,7,1,NSS,1,
11010,2,1,7,2,NSS,2,
11011,1,1,2,11,NSS,11,
11011,2,1,8,7,NSS,7,
11012,1,1,34,1014,1000,14,
11012,2,1,15,940,925,15,
11013,1,1,8,218,188,30,
11013,2,1,10,309,274,35,
11014,1,1,130,1683,1556,127,
11014,2,1,125,1142,956,186,
11015,1,1,1507,7304,6866,438,
11015,2,1,2106,7713,7239,474,
11016,1,1,NSS,119,119,NSS,
11016,2,1,NSS,182,182,NSS,
11017,1,1,908,6573,5962,611,
11017,2,1,884,3113,2559,554,
11018,1,1,10,424,399,25,
11018,2,1,12,471,439,32,
11019,1,2,NA,NA,NA,NA,
11019,2,1,2,22,18,4,
11020,1,1,965,180908,157115,23793,
11020,2,1,885,149970,128933,21037,
11021,1,1,25,421,418,3,
11021,2,1,32,720,709,11,
11022,1,1,2,448,446,2,
11022,2,1,3,403,400,3,
11023,1,1,22,3459,3284,175,
11023,2,1,38,3047,2833,214,
11024,1,1,NSS,NSS,NSS,NSS,
11024,2,1,NSS,NSS,NSS,NSS,
11025,1,1,53,3683,3643,40,
11025,2,1,55,3040,3000,40,
11026,1,1,0,516,516,0,
11026,2,1,0,470,470,0,
11027,1,9,NSS,NSS,NSS,NSS,
11027,2,9,NSS,NSS,NSS,NSS,
11028,1,9,NSS,NSS,NSS,NSS,
11028,2,1,22642,912,805,107,
11029,1,1,8,471,463,8,
11029,2,1,15,1481,1466,15,
11030,1,1,5,1144,1131,13,
11030,2,1,6,1041,1036,5,
11031,1,1,92,119,NSS,119,
11031,2,1,208,177,NSS,177,
11032,1,9,NSS,NSS,NSS,NSS,
11032,2,1,74,580,546,34,
11033,1,1,49,1460,1444,16,
11033,2,1,57,1412,1382,30,
11034,1,9,NSS,NSS,NSS,NSS,
11034,2,1,3,3,0,3,
11035,1,9,NSS,NSS,NSS,NSS,
11035,2,9,NSS,NSS,NSS,NSS,
11036,1,2,NA,NA,NA,NA,
11036,2,2,NA,NA,NA,NA,
