ubicageo_f,sitpaptt,sitpap1,sitpap2,sitpap3,sitpap4,sitpap5,sitpap6,sitpap7,sitpap8
13084,255,0,0,0,243,0,12,0,0
14001,167,0,0,0,150,0,17,0,0
14002,114,50,0,0,47,0,17,0,0
14003,NA,NA,NA,NA,NA,NA,NA,NA,NA
14004,23,0,0,0,8,0,10,5,0
14005,149,0,0,0,0,0,0,0,149
14006,333,0,6,0,305,0,22,0,0
14007,150,10,0,0,140,0,0,0,0
14008,NA,NA,NA,NA,NA,NA,NA,NA,NA
14009,NA,NA,NA,NA,NA,NA,NA,NA,NA
14010,243,32,5,0,93,0,113,0,0
14011,51,25,0,0,26,0,0,0,0
