ubicageo_f,cantdeli_b,mymenitt,mymeni1,mymeni2,mymeni3,mymenint,mymenis1,mymeni4,mymeni5,mymeni6,mymenis2,mymeni8,mymeni9,mymeni10,mymenis3,mymeni12,mymeni13,mymeni14,mymenins
1001,1,4549,NSS,NSS,4549,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,4549,NSS,NSS,4549,
4009,1,152,152,0,0,,138,138,0,0,14,14,0,0,0,0,0,0,
4009,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4009,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4009,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4009,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4009,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4009,9,,,,,,,,,,,,,,,,,,
4010,1,20,20,0,0,,20,20,0,0,0,0,0,0,0,0,0,0,
4010,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4010,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4010,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4010,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4010,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4010,9,,,,,,,,,,,,,,,,,,
4011,1,21,21,0,0,,21,21,0,0,0,0,0,0,0,0,0,0,
4011,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4011,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4011,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4011,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4011,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4011,9,,,,,,,,,,,,,,,,,,
4012,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4012,2,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4012,3,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4012,4,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4012,5,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4012,6,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4012,9,,,,,,,,,,,,,,,,,,
4013,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4013,2,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4013,3,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4013,4,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4013,5,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4013,6,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4013,9,,,,,,,,,,,,,,,,,,
5001,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5001,2,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5001,3,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5001,4,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5001,5,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5001,6,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5001,9,,,,,,,,,,,,,,,,,,
5002,1,1371,0,0,1371,,0,0,0,0,0,0,0,0,1371,0,0,1371,
5002,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5002,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5002,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5002,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5002,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5002,9,,,,,,,,,,,,,,,,,,
5003,1,20,20,0,0,,0,0,0,0,0,0,0,0,20,20,0,0,
5003,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5003,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5003,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5003,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5003,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5003,9,,,,,,,,,,,,,,,,,,
5004,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5004,2,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5004,3,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5004,4,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5004,5,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5004,6,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5004,9,,,,,,,,,,,,,,,,,,
5005,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
