ubicageo_f,aniorefe_b,pprfue1,pprfue2,pprfue3
20522,2,NA,NA,NA
20523,1,NA,NA,NA
20523,2,NA,NA,NA
20524,1,NA,NA,NA
20524,2,NA,NA,NA
20525,1,NSS,NSS,NSS
20525,2,NA,NA,NA
20526,1,NSS,NSS,NSS
20526,2,NSS,NSS,NSS
20527,1,NA,NA,NA
20527,2,NA,NA,NA
20528,1,NA,NA,NA
20528,2,NA,NA,NA
20529,1,NA,NA,NA
20529,2,NA,NA,NA
20530,1,1,0,0
20530,2,1,0,0
20531,1,NA,NA,NA
20531,2,NA,NA,NA
20532,1,NA,NA,NA
20532,2,NA,NA,NA
20533,1,NSS,NSS,NSS
20533,2,NSS,NSS,NSS
20534,1,NA,NA,NA
20534,2,NA,NA,NA
20535,1,NA,NA,NA
20535,2,NA,NA,NA
20536,1,NA,NA,NA
20536,2,NA,NA,NA
20537,1,NSS,NSS,NSS
20537,2,NA,NA,NA
20538,1,NA,NA,NA
20538,2,NA,NA,NA
20539,1,0,0,0
20539,2,0,0,0
20540,1,1,0,0
20540,2,3,0,0
20541,1,NA,NA,NA
20541,2,NA,NA,NA
20542,1,NA,NA,NA
20542,2,NA,NA,NA
20543,1,NA,NA,NA
20543,2,NA,NA,NA
20544,1,NA,NA,NA
20544,2,NA,NA,NA
20545,1,NA,NA,NA
20545,2,NA,NA,NA
20546,1,NA,NA,NA
20546,2,NA,NA,NA
20547,1,NA,NA,NA
20547,2,NA,NA,NA
20548,1,NA,NA,NA
20548,2,NA,NA,NA
20549,1,NSS,NSS,NSS
20549,2,NA,NA,NA
20550,1,NA,NA,NA
20550,2,NA,NA,NA
20551,1,35,0,0
20551,2,20,0,0
20552,1,NA,NA,NA
20552,2,NA,NA,NA
20553,1,NA,NA,NA
20553,2,NA,NA,NA
20554,1,NA,NA,NA
20554,2,NA,NA,NA
20555,1,NA,NA,NA
20555,2,NA,NA,NA
20556,1,NA,NA,NA
20556,2,NA,NA,NA
