ubicageo_f,contrave_b,faltcivi_e,totalca1,totalca2
1010,3,30799,,
1010,3,30800,0,0
1010,3,30900,10,18
1010,3,31000,0,0
1010,3,31100,0,0
1010,3,31200,5,8
1010,3,31300,0,0
1010,3,31400,0,0
1010,3,31500,0,0
1010,3,31600,0,0
1010,4,40100,4,0
1010,4,40200,0,0
1010,4,40300,0,0
1010,4,40400,0,0
1010,4,40500,0,0
1010,4,40600,0,0
1010,4,40700,0,0
1010,4,40800,11,0
1010,4,40900,38,0
1010,4,41000,0,0
1010,5,50100,0,0
1010,5,50200,0,0
1010,5,50300,0,0
1010,5,50400,0,0
1010,5,50500,0,2
1010,5,50600,0,0
1010,5,50700,0,0
1010,5,50800,0,0
1010,5,50900,0,0
1010,5,51000,0,0
1010,5,51100,0,0
1010,5,51200,13,30
1010,5,51300,0,0
1010,5,51400,0,0
1010,6,60100,0,0
1010,6,60200,0,0
1010,6,60300,0,0
1010,6,60400,0,0
1010,6,60500,0,0
1010,6,60600,0,0
1010,7,70100,0,0
1010,8,80100,0,0
1010,9,999999,,
1011,1,10100,130,102
1011,1,10200,420,399
1011,1,10300,801,762
1011,1,10301,801,762
1011,1,10302,0,0
1011,1,10303,0,0
1011,1,10304,0,0
1011,1,10305,0,0
1011,1,10306,0,0
1011,1,10307,0,0
1011,1,10308,0,0
1011,1,10399,,
1011,1,10400,0,0
1011,1,10500,0,0
1011,2,20100,55,41
1011,2,20200,3101,2937
1011,2,20300,0,0
1011,2,20400,0,0
1011,2,20500,0,1
1011,2,20600,1,0
1011,2,20700,0,0
1011,2,20800,2,0
1011,2,20900,0,0
1011,3,30100,0,0
1011,3,30200,3,1
1011,3,30300,0,0
1011,3,30400,0,0
1011,3,30500,0,0
1011,3,30600,907,798
1011,3,30700,185,155
1011,3,30701,120,94
1011,3,30702,21,18
1011,3,30703,2,0
1011,3,30704,42,43
1011,3,30705,0,0
1011,3,30799,,
1011,3,30800,0,0
1011,3,30900,0,0
1011,3,31000,0,0
1011,3,31100,0,0
1011,3,31200,31,49
1011,3,31300,0,0
1011,3,31400,1,0
1011,3,31500,0,0
1011,3,31600,0,0
1011,4,40100,17,9
1011,4,40200,0,0
1011,4,40300,21,16
1011,4,40400,0,0
1011,4,40500,5,0
1011,4,40600,3,1
1011,4,40700,0,0
1011,4,40800,95,63
1011,4,40900,360,244
1011,4,41000,0,0
1011,5,50100,0,0
1011,5,50200,0,0
1011,5,50300,0,0
1011,5,50400,0,0
1011,5,50500,0,0
1011,5,50600,0,0
1011,5,50700,5,11
1011,5,50800,0,0
1011,5,50900,0,0
1011,5,51000,0,0
1011,5,51100,6,2
1011,5,51200,35,22
1011,5,51300,9,11
1011,5,51400,0,0
1011,6,60100,0,0
1011,6,60200,0,0
1011,6,60300,0,0
1011,6,60400,0,0
1011,6,60500,0,0
1011,6,60600,0,0
1011,7,70100,0,1
1011,8,80100,0,0
1011,9,999999,,
2001,1,10100,NA,NA
2001,1,10200,NA,NA
2001,1,10300,NA,NA
2001,1,10301,NA,NA
2001,1,10302,NA,NA
2001,1,10303,NA,NA
2001,1,10304,NA,NA
2001,1,10305,NA,NA
2001,1,10306,NA,NA
2001,1,10307,NA,NA
2001,1,10308,NA,NA
2001,1,10399,,
2001,1,10400,NA,NA
2001,1,10500,NA,NA
2001,2,20100,NA,NA
2001,2,20200,NA,NA
2001,2,20300,NA,NA
2001,2,20400,NA,NA
2001,2,20500,NA,NA
2001,2,20600,NA,NA
2001,2,20700,NA,NA
2001,2,20800,NA,NA
2001,2,20900,NA,NA
2001,3,30100,NA,NA
2001,3,30200,NA,NA
2001,3,30300,NA,NA
2001,3,30400,NA,NA
2001,3,30500,NA,NA
2001,3,30600,NA,NA
2001,3,30700,NA,NA
2001,3,30701,NA,NA
2001,3,30702,NA,NA
2001,3,30703,NA,NA
2001,3,30704,NA,NA
2001,3,30705,NA,NA
2001,3,30799,,
2001,3,30800,NA,NA
2001,3,30900,NA,NA
2001,3,31000,NA,NA
2001,3,31100,NA,NA
2001,3,31200,NA,NA
2001,3,31300,NA,NA
2001,3,31400,NA,NA
2001,3,31500,NA,NA
2001,3,31600,NA,NA
2001,4,40100,NA,NA
2001,4,40200,NA,NA
2001,4,40300,NA,NA
2001,4,40400,NA,NA
2001,4,40500,NA,NA
2001,4,40600,NA,NA
2001,4,40700,NA,NA
2001,4,40800,NA,NA
2001,4,40900,NA,NA
2001,4,41000,NA,NA
2001,5,50100,NA,NA
2001,5,50200,NA,NA
2001,5,50300,NA,NA
2001,5,50400,NA,NA
2001,5,50500,NA,NA
2001,5,50600,NA,NA
2001,5,50700,NA,NA
2001,5,50800,NA,NA
2001,5,50900,NA,NA
2001,5,51000,NA,NA
2001,5,51100,NA,NA
2001,5,51200,NA,NA
2001,5,51300,NA,NA
2001,5,51400,NA,NA
2001,6,60100,NA,NA
2001,6,60200,NA,NA
2001,6,60300,NA,NA
2001,6,60400,NA,NA
2001,6,60500,NA,NA
2001,6,60600,NA,NA
2001,7,70100,NA,NA
2001,8,80100,NA,NA
2001,9,999999,,
2002,1,10100,1677,1886
2002,1,10200,1256,1715
2002,1,10300,0,0
2002,1,10301,0,0
2002,1,10302,0,0
2002,1,10303,0,0
2002,1,10304,0,0
2002,1,10305,0,0
2002,1,10306,0,0
2002,1,10307,0,0
2002,1,10308,0,0
2002,1,10399,,
2002,1,10400,1,0
2002,1,10500,0,0
2002,2,20100,68,303
2002,2,20200,2286,2187
2002,2,20300,0,0
2002,2,20400,240,206
2002,2,20500,0,0
2002,2,20600,0,0
2002,2,20700,0,0
2002,2,20800,59,57
2002,2,20900,0,0
2002,3,30100,23,43
2002,3,30200,0,0
2002,3,30300,0,0
2002,3,30400,0,0
2002,3,30500,0,0
2002,3,30600,653,2823
2002,3,30700,659,564
2002,3,30701,0,0
2002,3,30702,523,564
2002,3,30703,3,0
2002,3,30704,133,0
2002,3,30705,0,0
2002,3,30799,,
2002,3,30800,0,0
2002,3,30900,40,65
2002,3,31000,0,0
2002,3,31100,0,0
2002,3,31200,0,0
2002,3,31300,0,6
2002,3,31400,9,11
2002,3,31500,0,1
2002,3,31600,0,0
2002,4,40100,0,0
2002,4,40200,0,0
2002,4,40300,0,0
2002,4,40400,0,0
2002,4,40500,0,0
2002,4,40600,0,0
2002,4,40700,0,0
2002,4,40800,0,0
2002,4,40900,101,84
2002,4,41000,0,0
2002,5,50100,0,0
2002,5,50200,0,0
2002,5,50300,36,69
2002,5,50400,0,1
2002,5,50500,0,0
2002,5,50600,0,0
2002,5,50700,0,0
2002,5,50800,2,2
2002,5,50900,0,0
2002,5,51000,1,0
2002,5,51100,8,11
2002,5,51200,150,214
2002,5,51300,54,36
2002,5,51400,61,0
2002,6,60100,31,40
2002,6,60200,0,3
2002,6,60300,0,0
2002,6,60400,0,0
2002,6,60500,0,0
2002,6,60600,0,0
2002,7,70100,4692,7307
2002,8,80100,0,0
2002,9,999999,,
2003,1,10100,943,1691
2003,1,10200,98,159
2003,1,10300,1070,2439
2003,1,10301,0,0
2003,1,10302,0,0
2003,1,10303,0,0
2003,1,10304,0,0
2003,1,10305,0,0
2003,1,10306,0,0
2003,1,10307,0,0
2003,1,10308,1070,2439
2003,1,10399,,
2003,1,10400,0,0
2003,1,10500,0,0
2003,2,20100,714,1807
2003,2,20200,1891,3648
2003,2,20300,0,0
2003,2,20400,0,0
2003,2,20500,0,0
2003,2,20600,0,51
2003,2,20700,0,0
2003,2,20800,56,103
2003,2,20900,1342,2623
2003,3,30100,0,0
2003,3,30200,0,0
2003,3,30300,0,0
2003,3,30400,0,0
2003,3,30500,0,0
2003,3,30600,0,0
2003,3,30700,256,526
2003,3,30701,0,0
2003,3,30702,0,0
2003,3,30703,256,526
2003,3,30704,0,0
2003,3,30705,0,0
2003,3,30799,,
2003,3,30800,0,0
2003,3,30900,0,0
2003,3,31000,0,0
2003,3,31100,0,0
2003,3,31200,52,71
2003,3,31300,0,0
2003,3,31400,0,0
2003,3,31500,0,0
2003,3,31600,0,0
2003,4,40100,0,0
2003,4,40200,0,0
2003,4,40300,90,255
2003,4,40400,1773,4052
2003,4,40500,0,0
2003,4,40600,0,0
2003,4,40700,0,0
2003,4,40800,158,551
2003,4,40900,208,203
2003,4,41000,70,66
2003,5,50100,0,0
2003,5,50200,0,0
2003,5,50300,0,0
2003,5,50400,0,0
2003,5,50500,0,0
2003,5,50600,0,0
2003,5,50700,0,0
2003,5,50800,0,0
2003,5,50900,0,0
2003,5,51000,0,0
2003,5,51100,116,236
2003,5,51200,72,84
2003,5,51300,272,766
2003,5,51400,28,0
2003,6,60100,0,0
2003,6,60200,0,0
2003,6,60300,0,0
2003,6,60400,0,0
2003,6,60500,0,0
2003,6,60600,0,0
2003,7,70100,0,0
2003,8,80100,0,0
2003,9,999999,,
2004,1,10100,4,0
2004,1,10200,1820,1591
2004,1,10300,23703,37106
2004,1,10301,25,20
2004,1,10302,523,536
2004,1,10303,50,49
2004,1,10304,0,0
2004,1,10305,665,634
2004,1,10306,34,27
2004,1,10307,3684,3354
2004,1,10308,18722,32486
2004,1,10399,,
2004,1,10400,0,0
2004,1,10500,3,2
2004,2,20100,926,1192
2004,2,20200,303,266
2004,2,20300,0,0
2004,2,20400,451,778
2004,2,20500,42,44
2004,2,20600,0,0
2004,2,20700,0,0
2004,2,20800,34,41
2004,2,20900,0,0
2004,3,30100,165,148
2004,3,30200,0,0
2004,3,30300,0,0
2004,3,30400,0,0
2004,3,30500,0,0
2004,3,30600,14393,13832
2004,3,30700,1020,849
2004,3,30701,464,414
2004,3,30702,0,0
2004,3,30703,291,267
2004,3,30704,265,168
2004,3,30705,0,0
2004,3,30799,,
2004,3,30800,327,191
2004,3,30900,0,0
2004,3,31000,0,0
2004,3,31100,0,0
2004,3,31200,0,0
2004,3,31300,0,0
2004,3,31400,15,10
2004,3,31500,0,0
2004,3,31600,2430,1911
2004,4,40100,171,181
