ubicageo_f,aniorefe_b,rnsnni1,forfastt,forfas1,forfas2,forfas3
7094,2,9,NSS,NSS,NSS,NSS
7096,1,1,17583303.11,17583303.11,0,0
7096,2,1,17395491.61,17395491.61,0,0
7097,1,2,NA,NA,NA,NA
7097,2,2,NA,NA,NA,NA
7098,1,1,5168976,5168976,0,0
7098,2,1,5415968,5415968,0,0
7099,1,1,18187307.26,18187307.26,0,0
7099,2,1,19960629.35,19960629.35,0,0
7100,1,2,NA,NA,NA,NA
7100,2,2,NA,NA,NA,NA
7101,1,1,232743901.93,232743901.93,0,0
7101,2,1,236816621.78,236816621.78,0,0
7102,1,2,NA,NA,NA,NA
7102,2,2,NA,NA,NA,NA
7103,1,1,7905098.11,7905098.11,0,0
7103,2,1,8488862.99,8488862.99,0,0
7104,1,2,NA,NA,NA,NA
7104,2,2,NA,NA,NA,NA
7105,1,1,6377872,6377872,0,0
7105,2,1,5776466,5776466,0,0
7106,1,2,NA,NA,NA,NA
7106,2,2,NA,NA,NA,NA
7107,1,9,NSS,NSS,NSS,NSS
7107,2,9,NSS,NSS,NSS,NSS
7108,1,1,21932927.62,21932927.62,0,0
7108,2,1,20371515.18,20371515.18,0,0
7109,1,2,NA,NA,NA,NA
7109,2,2,NA,NA,NA,NA
7110,1,1,2281370,2281370,0,0
7110,2,1,2806477,2806477,0,0
7111,1,1,7599270.9,7599270.9,0,0
7111,2,1,8027353.37,8027353.37,0,0
7112,1,1,3794000,3794000,0,0
7112,2,1,3777844,3777844,0,0
7113,1,1,3000888.5,3000888.5,0,0
7113,2,1,2309083,2309083,0,0
7114,1,2,NA,NA,NA,NA
7114,2,2,NA,NA,NA,NA
7115,1,2,NA,NA,NA,NA
7115,2,2,NA,NA,NA,NA
7116,1,9,NSS,NSS,NSS,NSS
7116,2,9,NSS,NSS,NSS,NSS
7117,1,1,584809.27,584809.27,0,0
7117,2,1,2320605.45,2320605.45,0,0
7118,1,2,NA,NA,NA,NA
7118,2,2,NA,NA,NA,NA
7119,1,1,2420537.11,2420537.11,0,0
7119,2,1,2420537.11,2420537.11,0,0
7120,1,9,NSS,NSS,NSS,NSS
7120,2,1,1297802.45,1297802.45,0,0
7121,1,2,NA,NA,NA,NA
7121,2,2,NA,NA,NA,NA
7122,1,2,NA,NA,NA,NA
7122,2,2,NA,NA,NA,NA
7123,1,2,NA,NA,NA,NA
7123,2,1,3203889,3203889,0,0
7124,1,2,NA,NA,NA,NA
7124,2,2,NA,NA,NA,NA
7125,1,1,2710399,2710399,0,0
7125,2,1,3376800,3376800,0,0
8001,1,2,NA,NA,NA,NA
8001,2,2,NA,NA,NA,NA
8002,1,1,9644301.17,9644301.17,0,0
8002,2,1,11079776.97,11079776.97,0,0
8003,1,2,NA,NA,NA,NA
8003,2,2,NA,NA,NA,NA
8004,1,2,NA,NA,NA,NA
8004,2,2,NA,NA,NA,NA
8005,1,9,NSS,NSS,NSS,NSS
8005,2,9,NSS,NSS,NSS,NSS
8006,1,2,NA,NA,NA,NA
8006,2,2,NA,NA,NA,NA
8007,1,1,11339322.96,11339322.96,0,0
8007,2,1,12262612,12262612,0,0
8008,1,1,NSS,NSS,0,0
8008,2,1,NSS,NSS,0,0
8009,1,2,NA,NA,NA,NA
8009,2,2,NA,NA,NA,NA
8010,1,2,NA,NA,NA,NA
8010,2,2,NA,NA,NA,NA
8011,1,2,NA,NA,NA,NA
8011,2,2,NA,NA,NA,NA
8012,1,1,6689909,6689909,0,0
8012,2,1,6051495,6051495,0,0
8013,1,2,NA,NA,NA,NA
8013,2,2,NA,NA,NA,NA
8014,1,1,1522315,1522315,0,0
8014,2,1,1517163,1517163,0,0
8015,1,9,NSS,NSS,NSS,NSS
8015,2,9,NSS,NSS,NSS,NSS
8016,1,2,NA,NA,NA,NA
8016,2,2,NA,NA,NA,NA
8017,1,1,36199168.29,36199168.29,NA,NA
8017,2,2,NA,NA,NA,NA
8018,1,2,NA,NA,NA,NA
8018,2,2,NA,NA,NA,NA
8019,1,2,NA,NA,NA,NA
8019,2,2,NA,NA,NA,NA
8020,1,1,4291561.3,4291561.3,0,0
8020,2,1,4643296.34,4643296.34,0,0
8021,1,1,54577602.99,54577602.99,0,0
8021,2,1,59398574.27,59398574.27,0,0
8022,1,1,1694001.05,1694001.05,0,0
8022,2,1,1832840.76,1832840.76,0,0
8023,1,9,NSS,NSS,NSS,NSS
8023,2,9,NSS,NSS,NSS,NSS
8024,1,2,NA,NA,NA,NA
8024,2,2,NA,NA,NA,NA
8025,1,2,NA,NA,NA,NA
8025,2,2,NA,NA,NA,NA
8026,1,1,1791044.76,1791044.76,0,0
8026,2,1,1825965.58,1825965.58,0,0
8027,1,1,31186196.08,31186196.08,0,0
8027,2,1,30007252.24,30007252.24,0,0
8028,1,2,NA,NA,NA,NA
8028,2,2,NA,NA,NA,NA
8029,1,1,3503374.86,3503374.86,0,0
8029,2,1,3131063.02,3131063.02,0,0
8030,1,1,NSS,NSS,0,0
8030,2,1,NSS,NSS,0,0
8031,1,2,NA,NA,NA,NA
8031,2,2,NA,NA,NA,NA
8032,1,9,NSS,NSS,NSS,NSS
8032,2,9,NSS,NSS,NSS,NSS
8033,1,1,597457.55,597457.55,0,0
8033,2,1,583858.77,583858.77,0,0
8034,1,2,NA,NA,NA,NA
8034,2,2,NA,NA,NA,NA
8035,1,2,NA,NA,NA,NA
8035,2,2,NA,NA,NA,NA
8036,1,2,NA,NA,NA,NA
8036,2,2,NA,NA,NA,NA
8037,1,1,334200715,334200715,0,0
8037,2,1,546126701,546126701,0,0
8038,1,9,NSS,NSS,NSS,NSS
8038,2,9,NSS,NSS,NSS,NSS
8039,1,2,NA,NA,NA,NA
8039,2,2,NA,NA,NA,NA
8040,1,1,17342818.44,17342818.44,0,0
8040,2,1,18764230.56,18764230.56,0,0
8041,1,1,1156988.77,1156988.77,0,0
8041,2,1,971163,971163,0,0
8042,1,2,NA,NA,NA,NA
8042,2,2,NA,NA,NA,NA
8043,1,2,NA,NA,NA,NA
8043,2,2,NA,NA,NA,NA
8044,1,9,NSS,NSS,NSS,NSS
8044,2,9,NSS,NSS,NSS,NSS
8045,1,2,NA,NA,NA,NA
8045,2,2,NA,NA,NA,NA
8046,1,2,NA,NA,NA,NA
8046,2,2,NA,NA,NA,NA
8047,1,9,NSS,NSS,NSS,NSS
8047,2,9,NSS,NSS,NSS,NSS
8048,1,1,14700000,14700000,0,0
8048,2,1,14700000,14700000,0,0
8049,1,1,2038245.31,2038245.31,0,0
8049,2,1,1856051.27,1856051.27,0,0
8050,1,2,NA,NA,NA,NA
8050,2,2,NA,NA,NA,NA
8051,1,2,NA,NA,NA,NA
8051,2,2,NA,NA,NA,NA
8052,1,1,16922077.25,16922077.25,0,0
8052,2,1,18309005.53,18309005.53,0,0
8053,1,2,NA,NA,NA,NA
8053,2,2,NA,NA,NA,NA
8054,1,2,NA,NA,NA,NA
8054,2,2,NA,NA,NA,NA
8055,1,9,NSS,NSS,NSS,NSS
8055,2,9,NSS,NSS,NSS,NSS
8056,1,1,1185399.82,1185399.82,0,0
8056,2,1,1659722.04,1659722.04,0,0
8057,1,1,1211081.69,1211081.69,0,0
8057,2,1,1639556.74,1639556.74,0,0
8058,1,2,NA,NA,NA,NA
8058,2,2,NA,NA,NA,NA
8059,1,1,3451458.16,3451458.16,0,0
8059,2,1,3743338.62,3743338.62,0,0
8060,1,1,7988566.84,7988566.84,0,0
8060,2,1,8643307.33,8643307.33,0,0
8061,1,1,2354771.82,2354771.82,0,0
8061,2,1,2547768.19,2547768.19,0,0
8062,1,9,NSS,NSS,NSS,NSS
8062,2,9,NSS,NSS,NSS,NSS
8063,1,1,4666448.62,4666448.62,0,0
8063,2,1,3970160.1,3970160.1,0,0
8064,1,1,1232523.5,1232523.5,0,0
8064,2,1,1419466.67,1419466.67,0,0
8065,1,1,11755236,11755236,0,0
8065,2,1,12718691,12718691,0,0
8066,1,2,NA,NA,NA,NA
8066,2,2,NA,NA,NA,NA
8067,1,1,3700455.55,3700455.55,0,0
8067,2,1,3561677,3561677,0,0
9002,1,0,NA,NA,NA,NA
9002,2,0,NA,NA,NA,NA
9003,1,0,NA,NA,NA,NA
9003,2,0,NA,NA,NA,NA
9004,1,0,NA,NA,NA,NA
9004,2,0,NA,NA,NA,NA
9005,1,0,NA,NA,NA,NA
9005,2,0,NA,NA,NA,NA
9006,1,0,NA,NA,NA,NA
9006,2,0,NA,NA,NA,NA
9007,1,0,NA,NA,NA,NA
9007,2,0,NA,NA,NA,NA
9008,1,0,NA,NA,NA,NA
9008,2,0,NA,NA,NA,NA
9009,1,0,NA,NA,NA,NA
9009,2,0,NA,NA,NA,NA
9010,1,0,NA,NA,NA,NA
9010,2,0,NA,NA,NA,NA
