ubicageo_f,aniorefe_b,prpltett,prplte1,prplte2,prplte4,prplte5,prpltene
31069,1,0,0,0,0,0,
31069,2,0,0,0,0,0,
31070,1,0,0,0,0,0,
31070,2,0,0,0,0,0,
31071,1,0,0,0,0,0,
31071,2,0,0,0,0,0,
31072,1,0,0,0,0,0,
31072,2,0,0,0,0,0,
31073,1,0,0,0,0,0,
31073,2,0,0,0,0,0,
31074,1,0,0,0,0,0,
31074,2,0,0,0,0,0,
31075,1,0,0,0,0,0,
31075,2,0,0,0,0,0,
31076,1,0,0,0,0,0,
31076,2,0,0,0,0,0,
31077,1,0,0,0,0,0,
31077,2,31726,0,0,31726,0,
31078,1,0,0,0,0,0,
31078,2,0,0,0,0,0,
31079,1,0,0,0,0,0,
31079,2,0,0,0,0,0,
31080,1,0,0,0,0,0,
31080,2,0,0,0,0,0,
31081,1,0,0,0,0,0,
31081,2,0,0,0,0,0,
31082,1,0,0,0,0,0,
31082,2,0,0,0,0,0,
31083,1,0,0,0,0,0,
31083,2,0,0,0,0,0,
31084,1,0,0,0,0,0,
31084,2,0,0,0,0,0,
31085,1,0,0,0,0,0,
31085,2,0,0,0,0,0,
31086,1,0,0,0,0,0,
31086,2,0,0,0,0,0,
31087,1,0,0,0,0,0,
31087,2,0,0,0,0,0,
31088,1,0,0,0,0,0,
31088,2,0,0,0,0,0,
31089,1,0,0,0,0,0,
31089,2,0,0,0,0,0,
31090,1,0,0,0,0,0,
31090,2,0,0,0,0,0,
31091,1,0,0,0,0,0,
31091,2,0,0,0,0,0,
31092,1,0,0,0,0,0,
31092,2,0,0,0,0,0,
31093,1,0,0,0,0,0,
31093,2,0,0,0,0,0,
31094,1,0,0,0,0,0,
31094,2,0,0,0,0,0,
31095,1,0,0,0,0,0,
31095,2,0,0,0,0,0,
31096,1,0,0,0,0,0,
31096,2,0,0,0,0,0,
31097,1,0,0,0,0,0,
31097,2,0,0,0,0,0,
31098,1,0,0,0,0,0,
31098,2,0,0,0,0,0,
31099,1,0,0,0,0,0,
31099,2,0,0,0,0,0,
31100,1,0,0,0,0,0,
31100,2,0,0,0,0,0,
31101,1,0,0,0,0,0,
31101,2,0,0,0,0,0,
31102,1,0,0,0,0,0,
31102,2,0,0,0,0,0,
31103,1,0,0,0,0,0,
31103,2,0,0,0,0,0,
31104,1,0,0,0,0,0,
31104,2,0,0,0,0,0,
31105,1,0,0,0,0,0,
31105,2,0,0,0,0,0,
31106,1,0,0,0,0,0,
31106,2,0,0,0,0,0,
32001,1,0,0,0,0,0,
32001,2,0,0,0,0,0,
32002,1,NA,NA,NA,NA,NA,
32002,2,NA,NA,NA,NA,NA,
32003,1,0,0,0,0,0,
32003,2,0,0,0,0,0,
32004,1,0,0,0,0,0,
32004,2,0,0,0,0,0,
32005,1,0,0,0,0,0,
32005,2,0,0,0,0,0,
32006,1,0,0,0,0,0,
32006,2,0,0,0,0,0,
32007,1,0,0,0,0,0,
32007,2,0,0,0,0,0,
32008,1,0,0,0,0,0,
32008,2,0,0,0,0,0,
32009,1,0,0,0,0,0,
32009,2,0,0,0,0,0,
32010,1,0,0,0,0,0,
32010,2,0,0,0,0,0,
32011,1,0,0,0,0,0,
32011,2,0,0,0,0,0,
32012,1,0,0,0,0,0,
32012,2,0,0,0,0,0,
32013,1,0,0,0,0,0,
32013,2,0,0,0,0,0,
32014,1,0,0,0,0,0,
32014,2,0,0,0,0,0,
32015,1,0,0,0,0,0,
32015,2,0,0,0,0,0,
32016,1,0,0,0,0,0,
32016,2,0,0,0,0,0,
32017,1,0,0,0,0,0,
32017,2,0,0,0,0,0,
32018,1,0,0,0,0,0,
32018,2,0,0,0,0,0,
32019,1,0,0,0,0,0,
32019,2,0,0,0,0,0,
32020,1,0,0,0,0,0,
32020,2,0,0,0,0,0,
32021,1,0,0,0,0,0,
32021,2,0,0,0,0,0,
32022,1,0,0,0,0,0,
32022,2,0,0,0,0,0,
32023,1,0,0,0,0,0,
32023,2,0,0,0,0,0,
32024,1,0,0,0,0,0,
32024,2,0,0,0,0,0,
32025,1,0,0,0,0,0,
32025,2,0,0,0,0,0,
32026,1,0,0,0,0,0,
32026,2,0,0,0,0,0,
32027,1,0,0,0,0,0,
32027,2,0,0,0,0,0,
32028,1,0,0,0,0,0,
32028,2,0,0,0,0,0,
32029,1,0,0,0,0,0,
32029,2,0,0,0,0,0,
32030,1,0,0,0,0,0,
32030,2,0,0,0,0,0,
32031,1,0,0,0,0,0,
32031,2,0,0,0,0,0,
32032,1,0,0,0,0,0,
32032,2,0,0,0,0,0,
32033,1,0,0,0,0,0,
32033,2,0,0,0,0,0,
32034,1,0,0,0,0,0,
32034,2,0,0,0,0,0,
32035,1,0,0,0,0,0,
32035,2,0,0,0,0,0,
32036,1,0,0,0,0,0,
32036,2,0,0,0,0,0,
32037,1,0,0,0,0,0,
32037,2,0,0,0,0,0,
32038,1,0,0,0,0,0,
32038,2,0,0,0,0,0,
32039,1,0,0,0,0,0,
32039,2,0,0,0,0,0,
32040,1,0,0,0,0,0,
32040,2,0,0,0,0,0,
32041,1,0,0,0,0,0,
32041,2,0,0,0,0,0,
32042,1,0,0,0,0,0,
32042,2,0,0,0,0,0,
32043,1,0,0,0,0,0,
32043,2,0,0,0,0,0,
32044,1,0,0,0,0,0,
32044,2,0,0,0,0,0,
32045,1,0,0,0,0,0,
32045,2,0,0,0,0,0,
32046,1,0,0,0,0,0,
32046,2,0,0,0,0,0,
32047,1,0,0,0,0,0,
32047,2,0,0,0,0,0,
32048,1,0,0,0,0,0,
32048,2,0,0,0,0,0,
32049,1,0,0,0,0,0,
32049,2,0,0,0,0,0,
32050,1,0,0,0,0,0,
32050,2,0,0,0,0,0,
32051,1,0,0,0,0,0,
32051,2,0,0,0,0,0,
32052,1,0,0,0,0,0,
32052,2,0,0,0,0,0,
32053,1,NSS,NSS,NSS,NSS,NSS,
32053,2,NSS,NSS,NSS,NSS,NSS,
32054,1,0,0,0,0,0,
32054,2,0,0,0,0,0,
32055,1,0,0,0,0,0,
32055,2,0,0,0,0,0,
32056,1,0,0,0,0,0,
32056,2,250000,0,0,250000,0,
32057,1,0,0,0,0,0,
32057,2,0,0,0,0,0,
32058,1,0,0,0,0,0,
32058,2,0,0,0,0,0,
