ubicageo_f,capobg1,capobg2,capobg3,capobg4,capobg5,capobg6,capobg7,capobg8,capobg9,capobgne
20144,174311,248911.71,279278.02,0,5500,0,0,0,0,
20145,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20146,675703.56,163427.68,249505.39,0,8429.72,0,0,0,0,
20147,45000,80000,82183,48445.13,0,0,0,0,0,
20148,0,245857.43,424318.16,0,0,777970.8,0,0,0,
20149,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20150,0,106372,0,0,0,0,0,0,0,
20151,0,0,0,0,0,0,0,0,0,
20152,173885.6,228110.14,680586.7,0,0,0,0,0,0,
20153,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20154,240000,0,549000,0,0,754464,0,0,0,
20155,83169.6,109011.65,324590.39,0,0,0,0,0,0,
20156,0,0,0,0,0,2440699,0,0,0,
20157,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20158,1032952.3,0,92171.2,0,0,0,0,0,0,
20159,1248000,0,1177000,0,0,1250238,0,0,0,
20160,0,0,0,0,0,0,0,0,0,
20161,0,1729623.82,0,0,0,0,0,0,0,
20162,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20163,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20164,458678,258621,270227,0,0,0,0,0,0,
20165,0,0,0,0,0,0,0,0,0,
20166,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20167,156402.68,0,0,0,0,0,0,0,0,
20168,1100000,500000,550000,0,250000,800000,0,0,0,
20169,200000,1200000,900000,100000,400000,100000,100000,0,0,
20170,0,0,3653058.85,0,0,0,0,0,0,
20171,0,0,0,0,0,0,0,0,0,
20172,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,38123
20173,364573,0,0,0,0,0,0,0,0,
20174,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20175,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20176,992100,698647.04,118000,0,0,0,0,0,0,
20177,0,455422.67,234611.67,0,0,0,0,0,0,
20178,0,0,398171.25,0,0,0,0,0,0,
20179,0,285800.76,190533.84,0,0,0,0,0,0,
20180,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20181,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,300683.4
20182,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20183,625066.89,477993.14,405881.28,0,0,0,0,0,0,
20184,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20185,0,0,4487334,0,0,0,0,0,0,
20186,185649,196523,104587,0,0,0,0,0,0,
20187,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20188,0,0,6500000,0,0,0,0,0,0,
