ubicageo_f,tipatrul_c,rnsnni1,totalca1,totalca2
7017,6,2,NA,NA
7017,7,2,NA,NA
7017,8,2,NA,NA
7017,9,2,NA,NA
7018,1,1,730,3650
7018,2,2,NA,NA
7018,3,2,NA,NA
7018,4,1,1460,7300
7018,5,1,1460,7300
7018,6,2,NA,NA
7018,7,2,NA,NA
7018,8,2,NA,NA
7018,9,2,NA,NA
7019,1,1,365,1825
7019,2,2,NA,NA
7019,3,1,365,109500
7019,4,1,365,109500
7019,5,1,365,109500
7019,6,2,NA,NA
7019,7,2,NA,NA
7019,8,2,NA,NA
7019,9,2,NA,NA
7020,1,1,365,2100
7020,2,2,NA,NA
7020,3,2,NA,NA
7020,4,1,365,6000
7020,5,1,365,1500
7020,6,2,NA,NA
7020,7,2,NA,NA
7020,8,2,NA,NA
7020,9,2,NA,NA
7021,1,1,1095,98550
7021,2,2,NA,NA
7021,3,2,NA,NA
7021,4,1,1095,98550
7021,5,1,1095,98550
7021,6,2,NA,NA
7021,7,2,NA,NA
7021,8,2,NA,NA
7021,9,2,NA,NA
7022,1,2,NA,NA
7022,2,2,NA,NA
7022,3,2,NA,NA
7022,4,1,730,27740
7022,5,2,NA,NA
7022,6,2,NA,NA
7022,7,2,NA,NA
7022,8,2,NA,NA
7022,9,2,NA,NA
7023,1,2,NA,NA
7023,2,2,NA,NA
7023,3,2,NA,NA
7023,4,2,NA,NA
7023,5,2,NA,NA
7023,6,2,NA,NA
7023,7,2,NA,NA
7023,8,2,NA,NA
7023,9,2,NA,NA
7024,1,1,4,8
7024,2,2,NA,NA
7024,3,2,NA,NA
7024,4,1,48,144
7024,5,2,NA,NA
7024,6,2,NA,NA
7024,7,2,NA,NA
7024,8,2,NA,NA
7024,9,2,NA,NA
7025,1,1,400,100
7025,2,2,NA,NA
7025,3,2,NA,NA
7025,4,1,800,500
7025,5,1,600,500
7025,6,2,NA,NA
7025,7,2,NA,NA
7025,8,2,NA,NA
7025,9,2,NA,NA
7026,1,2,NA,NA
7026,2,2,NA,NA
7026,3,2,NA,NA
7026,4,1,2555,7665
7026,5,1,208,624
7026,6,2,NA,NA
7026,7,2,NA,NA
7026,8,2,NA,NA
7026,9,2,NA,NA
7027,1,1,365,7500
7027,2,2,NA,NA
7027,3,1,365,87500
7027,4,2,NA,NA
7027,5,2,NA,NA
7027,6,2,NA,NA
7027,7,2,NA,NA
7027,8,2,NA,NA
7027,9,2,NA,NA
7028,1,1,200,2000
7028,2,2,NA,NA
7028,3,2,NA,NA
7028,4,1,100,300
7028,5,1,50,150
7028,6,9,NSS,NSS
7028,7,2,NA,NA
7028,8,2,NA,NA
7028,9,2,NA,NA
7029,1,2,NA,NA
7029,2,2,NA,NA
7029,3,2,NA,NA
7029,4,1,730,3650
7029,5,2,NA,NA
7029,6,2,NA,NA
7029,7,2,NA,NA
7029,8,2,NA,NA
7029,9,2,NA,NA
7030,1,2,NA,NA
7030,2,2,NA,NA
7030,3,2,NA,NA
7030,4,1,365,10950
7030,5,2,NA,NA
7030,6,2,NA,NA
7030,7,2,NA,NA
7030,8,2,NA,NA
7030,9,2,NA,NA
7031,1,1,365,868
7031,2,2,NA,NA
7031,3,1,365,24455
7031,4,1,365,71540
7031,5,1,365,13814
7031,6,2,NA,NA
7031,7,2,NA,NA
7031,8,2,NA,NA
7031,9,2,NA,NA
7032,1,1,365,1825
7032,2,2,NA,NA
7032,3,2,NA,NA
7032,4,1,365,13140
7032,5,1,365,1460
7032,6,2,NA,NA
7032,7,2,NA,NA
7032,8,2,NA,NA
7032,9,2,NA,NA
7033,1,1,3,24
7033,2,2,NA,NA
7033,3,2,NA,NA
7033,4,1,365,58400
7033,5,1,365,30000
7033,6,2,NA,NA
7033,7,2,NA,NA
7033,8,2,NA,NA
7033,9,2,NA,NA
7034,1,2,NA,NA
7034,2,2,NA,NA
7034,3,1,365,10950
7034,4,1,365,10950
7034,5,2,NA,NA
7034,6,2,NA,NA
7034,7,2,NA,NA
7034,8,2,NA,NA
7034,9,2,NA,NA
