ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,tipers1,tipers2,tipers3,tipers4,tipers5,tipers6,tipers7,tipers8,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
7075,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7076,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7077,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7078,1,1,2015,4,3,,,,1,,,,,,,,,,,,,,,,1,
7079,1,1,2022,1,3,1,1,1,1,1,1,,,1,,,,1,,,,,,,,
7080,1,1,2022,1,5,,,,1,,,,,,,,,,,,,,,,1,
7081,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7082,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7083,1,1,2021,5,3,1,1,1,,,1,,,,,,,1,,,,,,,,
7084,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7085,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7086,1,1,2021,9,1,1,1,1,,,1,,,,,,,,,,,,,,1,
7087,1,1,2021,1,1,1,1,1,,,1,,,,,,,,,,,,,,1,
7088,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7089,1,1,2021,2,4,1,1,,,,1,,,,,,,,,,,,,1,,
7090,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7091,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7092,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7093,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7094,1,1,2022,7,3,1,1,1,1,1,1,,,1,,,,,,,,,,,,
7096,1,1,2022,4,3,,,,1,1,1,,,,,,,,,,,,,,1,
7097,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7098,1,1,2015,10,1,,,,,,1,,,1,,,,,,,,,,,,
7099,1,1,2021,8,4,1,1,1,1,1,1,,,1,,,,,,,,,,,,
7100,1,1,2000,10,1,1,1,,1,1,1,,,,,,,,,,,,,1,,
7101,1,1,2009,5,3,1,1,1,1,1,1,1,,,,,,,,,,,,,1,
7102,1,1,2015,5,3,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7103,1,1,2018,4,1,1,1,1,,,1,,,,,,,1,,,,,,,,
7104,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7105,1,1,2021,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7106,1,1,2021,2,2,1,1,,,,,1,,,,,,,,,,,,,1,
7107,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7108,1,1,2010,5,5,1,1,1,1,1,1,,,,,,,1,,,,,,,,
7109,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7110,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7111,1,1,2021,10,5,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7112,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7113,1,1,2021,10,5,1,1,1,1,1,1,,,,,,,1,,,,,,,,
7114,1,1,2021,2,3,,,,,1,,,,,,,,,,,,,,,1,
7115,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7116,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7117,1,1,2022,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7118,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7119,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7120,1,1,2021,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,
7121,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7122,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7123,1,1,2022,5,4,1,1,,,,,,,,,,,,,,,,,,1,
7124,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7125,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8001,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8002,1,1,NSS,1,9,1,1,1,1,1,,,,1,1,1,,,,,,,,,,
8003,1,1,2021,5,3,1,1,1,1,1,1,,,,,,,,,,1,,,,,
8004,1,1,2021,2,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,
8005,1,1,2015,1,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,
8006,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8007,1,1,2021,99,1,1,1,1,,,,,,,,,,1,,,,,,,,
8008,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8009,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8010,1,1,2015,9,1,,,,,,,,1,,,,,,,,,,1,,,
8011,1,1,2021,5,2,1,1,1,1,1,1,,,,,,,,,,,,,,1,
8012,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8013,1,1,NSS,1,1,,,,,1,,,,,,,,,,,,,,1,,
8014,1,1,2021,1,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,
8015,1,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
8016,1,1,2005,10,4,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
8017,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8018,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8019,1,1,NSS,5,3,1,1,1,1,1,1,1,,,,,,,,,,,,,1,
8020,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8021,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8022,1,1,NSS,1,1,1,1,1,1,1,,,,,,,,,,,1,,,,,
8023,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8024,1,1,2021,5,2,1,1,1,1,1,1,1,,,,,,1,,,1,,,,,
