ubicageo_f,aniorefe_b,rnsnni1,totalca1
30090,2,2,NA
30091,1,2,NA
30091,2,2,NA
30092,1,9,NSS
30092,2,9,NSS
30093,1,9,NSS
30093,2,9,NSS
30094,1,2,NA
30094,2,2,NA
30095,1,2,NA
30095,2,2,NA
30096,1,2,NA
30096,2,2,NA
30097,1,9,NSS
30097,2,2,NA
30098,1,2,NA
30098,2,2,NA
30099,1,9,NSS
30099,2,9,NSS
30100,1,9,NSS
30100,2,2,NA
30101,1,2,NA
30101,2,2,NA
30102,1,2,NA
30102,2,2,NA
30103,1,2,NA
30103,2,2,NA
30104,1,2,NA
30104,2,2,NA
30105,1,9,NSS
30105,2,9,NSS
30106,1,2,NA
30106,2,2,NA
30107,1,2,NA
30107,2,2,NA
30108,1,2,NA
30108,2,2,NA
30109,1,2,NA
30109,2,2,NA
30110,1,2,NA
30110,2,2,NA
30111,1,2,NA
30111,2,2,NA
30112,1,9,NSS
30112,2,2,NA
30113,1,9,NSS
30113,2,2,NA
30114,1,2,NA
30114,2,2,NA
30115,1,9,NSS
30115,2,9,NSS
30116,1,2,NA
30116,2,2,NA
30117,1,2,NA
30117,2,1,1
30118,1,2,NA
30118,2,1,1
30119,1,9,NSS
30119,2,9,NSS
30120,1,2,NA
30120,2,2,NA
30121,1,2,NA
30121,2,2,NA
30122,1,2,NA
30122,2,2,NA
30123,1,2,NA
30123,2,2,NA
30124,1,2,NA
30124,2,2,NA
30125,1,9,NSS
30125,2,9,NSS
30126,1,9,NSS
30126,2,2,NA
30127,1,9,NSS
30127,2,1,3
30128,1,2,NA
30128,2,2,NA
30129,1,2,NA
30129,2,2,NA
30130,1,2,NA
30130,2,2,NA
30131,1,2,NA
30131,2,2,NA
30132,1,9,NSS
30132,2,2,NA
30133,1,2,NA
30133,2,2,NA
30134,1,9,NSS
30134,2,2,NA
30135,1,2,NA
30135,2,2,NA
30136,1,2,NA
30136,2,2,NA
30137,1,2,NA
30137,2,2,NA
30138,1,9,NSS
30138,2,9,NSS
30139,1,2,NA
30139,2,2,NA
30140,1,9,NSS
30140,2,2,NA
30141,1,9,NSS
30141,2,2,NA
30142,1,2,NA
30142,2,2,NA
30143,1,9,NSS
30143,2,2,NA
30144,1,9,NSS
30144,2,9,NSS
30145,1,9,NSS
30145,2,2,NA
30146,1,9,NSS
30146,2,2,NA
30147,1,9,NSS
30147,2,9,NSS
30148,1,2,NA
30148,2,2,NA
30149,1,2,NA
30149,2,2,NA
30150,1,2,NA
30150,2,2,NA
30151,1,2,NA
30151,2,2,NA
30152,1,2,NA
30152,2,2,NA
30153,1,2,NA
30153,2,2,NA
30154,1,2,NA
30154,2,2,NA
30155,1,9,NSS
30155,2,2,NA
30156,1,9,NSS
30156,2,2,NA
30157,1,2,NA
30157,2,2,NA
30158,1,9,NSS
30158,2,9,NSS
30159,1,2,NA
30159,2,2,NA
30160,1,2,NA
30160,2,2,NA
30161,1,2,NA
30161,2,2,NA
30162,1,2,NA
30162,2,2,NA
30163,1,2,NA
30163,2,2,NA
30164,1,2,NA
30164,2,1,1
30165,1,9,NSS
30165,2,2,NA
30166,1,9,NSS
30166,2,2,NA
30167,1,2,NA
30167,2,2,NA
30168,1,2,NA
30168,2,2,NA
30169,1,9,NSS
30169,2,9,NSS
30170,1,2,NA
30170,2,2,NA
30171,1,2,NA
30171,2,2,NA
30172,1,9,NSS
30172,2,2,NA
30173,1,2,NA
30173,2,2,NA
30174,1,9,NSS
30174,2,2,NA
30175,1,2,NA
30175,2,2,NA
30176,1,2,NA
30176,2,2,NA
30177,1,2,NA
30177,2,2,NA
30178,1,2,NA
30178,2,2,NA
30179,1,2,NA
30179,2,2,NA
30180,1,9,NSS
30180,2,2,NA
30181,1,2,NA
30181,2,2,NA
30182,1,9,NSS
30182,2,9,NSS
30183,1,2,NA
30183,2,2,NA
30184,1,2,NA
30184,2,2,NA
30185,1,9,NSS
30185,2,2,NA
30186,1,9,NSS
30186,2,2,NA
30187,1,2,NA
30187,2,2,NA
30188,1,9,NSS
30188,2,2,NA
30189,1,2,NA
30189,2,2,NA
30190,1,2,NA
30190,2,2,NA
30191,1,9,NSS
30191,2,9,NSS
30192,1,2,NA
30192,2,2,NA
30193,1,2,NA
30193,2,2,NA
30194,1,2,NA
30194,2,2,NA
30195,1,2,NA
30195,2,2,NA
30196,1,2,NA
30196,2,2,NA
30197,1,2,NA
30197,2,2,NA
30198,1,2,NA
30198,2,2,NA
30199,1,2,NA
30199,2,2,NA
30200,1,2,NA
30200,2,2,NA
30201,1,9,NSS
30201,2,2,NA
30202,1,2,NA
30202,2,2,NA
30203,1,2,NA
30203,2,2,NA
30204,1,2,NA
30204,2,2,NA
30205,1,2,NA
30205,2,2,NA
30206,1,9,NSS
30206,2,9,NSS
30207,1,2,NA
30207,2,1,1
30208,1,2,NA
30208,2,2,NA
30209,1,2,NA
30209,2,2,NA
30210,1,2,NA
30210,2,2,NA
30211,1,2,NA
30211,2,2,NA
30212,1,2,NA
30212,2,2,NA
31001,1,2,NA
31001,2,2,NA
